ticker,number_of_trades,win_ratio(%),average_res(%),average_trade_len(days),median_res(%),cumulative_result,trade_results,profitable_trade_results,profitable_trades_mean,profitable_trades_median,looser_trade_results,looser_trades_mean,looser_trades_median,median_trade_len(days),number_of_win_trades,number_of_lost_trades,max_gain(%),max_lost(%),first_trade_buy,buy_threshold,sell_threshold
ZDGE,7,57.14,-3.97,229.0,8.99,0.3027315234087511,8.99 # -14.73 # -21.69 # 32.35 # -79.32 # 25.52 # 21.05,8.99 # 32.35 # 25.52 # 21.05,21.98,23.29,-14.73 # -21.69 # -79.32,-38.58,-21.69,155.0,4,3,32.35,-79.32,2016-10-03,30,70
SLGL,5,60.0,-5.38,318.0,18.19,0.18287156502591026,-23.33 # 25.18 # 18.19 # 41.68 # -88.62,25.18 # 18.19 # 41.68,28.35,25.18,-23.33 # -88.62,-55.98,-55.98,215.0,3,2,41.68,-88.62,2018-05-01,30,70
CNTG,4,75.0,24.6,198.0,24.82,0.4748313735696052,36.96 # 12.68 # -86.95 # 135.71,36.96 # 12.68 # 135.71,61.79,36.96,-86.95,-86.95,-86.95,65.0,3,1,135.71,-86.95,2019-12-06,30,70
LGL,19,63.16,3.38,161.0,11.26,0.4001432405306448,6.98 # 36.36 # -30.94 # 11.26 # -73.09 # 47.14 # 12.46 # 40.31 # -52.84 # -0.34 # 24.05 # 3.38 # -5.67 # 43.29 # 11.53 # 40.94 # -18.58 # 23.59 # -55.67,6.98 # 36.36 # 11.26 # 47.14 # 12.46 # 40.31 # 24.05 # 3.38 # 43.29 # 11.53 # 40.94 # 23.59,25.11,23.82,-30.94 # -73.09 # -52.84 # -0.34 # -5.67 # -18.58 # -55.67,-33.87,-30.94,153.0,12,7,47.14,-73.09,2006-02-23,30,70
NEON,15,46.67,11.02,230.0,-2.22,0.008864573898048938,-52.76 # 214.47 # -97.99 # 40.19 # 33.17 # 20.84 # -35.36 # -42.04 # -79.64 # -2.22 # 150.36 # 21.12 # -6.27 # 63.54 # -62.04,214.47 # 40.19 # 33.17 # 20.84 # 150.36 # 21.12 # 63.54,77.67,40.19,-52.76 # -97.99 # -35.36 # -42.04 # -79.64 # -2.22 # -6.27 # -62.04,-47.29,-47.4,133.0,7,8,214.47,-97.99,2006-02-13,30,70
NXTC,6,16.67,-24.03,172.0,-22.83,0.11257078837946222,22.16 # -66.62 # -0.79 # -22.48 # -53.28 # -23.18,22.16,22.16,22.16,-66.62 # -0.79 # -22.48 # -53.28 # -23.18,-33.27,-23.18,191.5,1,5,22.16,-66.62,2019-06-04,30,70
CVV,15,60.0,0.6,194.0,9.54,0.5044363914499247,9.54 # -36.23 # -10.4 # 24.76 # 24.11 # -6.21 # 20.34 # 18.97 # 0.47 # -15.7 # 14.9 # -61.95 # 53.35 # 12.12 # -39.12,9.54 # 24.76 # 24.11 # 20.34 # 18.97 # 0.47 # 14.9 # 53.35 # 12.12,19.84,18.97,-36.23 # -10.4 # -6.21 # -15.7 # -61.95 # -39.12,-28.27,-25.96,174.0,9,6,53.35,-61.95,2006-05-19,30,70
RFIL,14,71.43,6.22,166.0,8.51,1.276492123527088,64.01 # 7.46 # 39.54 # -15.08 # -30.94 # -57.39 # 15.31 # 1.05 # 11.22 # 22.02 # 21.99 # -2.17 # 0.44 # 9.57,64.01 # 7.46 # 39.54 # 15.31 # 1.05 # 11.22 # 22.02 # 21.99 # 0.44 # 9.57,19.26,13.27,-15.08 # -30.94 # -57.39 # -2.17,-26.4,-23.01,114.5,10,4,64.01,-57.39,2006-08-23,30,70
SONM,6,50.0,-28.14,172.0,-31.81,0.04098082942000694,-70.71 # -72.61 # 0.45 # -64.08 # 14.81 # 23.29,0.45 # 14.81 # 23.29,12.85,14.81,-70.71 # -72.61 # -64.08,-69.13,-70.71,165.5,3,3,23.29,-72.61,2019-07-09,30,70
IZEA,10,40.0,-6.17,228.0,-11.87,0.014068343275714683,-97.07 # -13.0 # -28.18 # -10.74 # -70.0 # 46.96 # 101.59 # -32.19 # 5.95 # 34.95,46.96 # 101.59 # 5.95 # 34.95,47.36,40.95,-97.07 # -13.0 # -28.18 # -10.74 # -70.0 # -32.19,-41.86,-30.19,170.0,4,6,101.59,-97.07,2012-03-15,30,70
